Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
Shital Grocery,-87.934921,42.139168,759 W Dundee Rd,,Wheeling,IL,60090,2605,COOK 
THE BUTCHER BLOCK,-91.402412,39.931896,819 Maine St,,Quincy,IL,62301,4014,ADAMS 
ROCHELLE SHELL 363834216,-89.066551,41.934017,505 W Highway 38,,Rochelle,IL,61068,1199,OGLE 
PONTOON BEACH MOBIL,-90.071609,38.750298,1281 Engineer Rd,,Pontoon Beach,IL,62040,2891,MADISON 
OLD TIME MEAT & DELI SHOPPE,-88.245689,40.090904,2018 S Neil St,,Champaign,IL,61820,7220,CHAMPAIGN 
BLUE ISLAND CITGO,-87.699707,41.662449,3196 Burr Oak Ave,,Blue Island,IL,60406,3936,COOK 
SOUTH SIDE MARATHON INC,-87.693428,41.779179,2800 W 63rd St,,Chicago,IL,60629,2313,COOK 
BUTERA MARKET,-88.315323,41.996204,1175 W Spring St,,South Elgin,IL,60177,1408,KANE 
MORSE FOOD AND MEAT MARKET,-87.666962,42.007919,1430 W Morse Ave,,Chicago,IL,60626,3480,COOK 
81ST AND RACINE CITGO INC,-87.653679,41.746632,8106 S Racine Ave,,Chicago,IL,60620,3013,COOK 
21ST Food Market Inc,-87.724892,41.853664,2022 S Pulaski Rd,# 24,Chicago,IL,60623,2854,COOK 
SULLIVAN FOODS 240,-89.927299,41.223671,605 Tenney St,,Kewanee,IL,61443,3738,HENRY 
WALLY'S MARKET III,-87.961578,42.048332,1731 W Golf Rd,,Mount Prospect,IL,60056,4025,COOK 
Pershing Center,-87.632385,41.823582,243 W Pershing Rd,,Chicago,IL,60609,2845,COOK 
RITE PRICE,-88.135223,42.025105,2227 W Schaumburg Rd,,Schaumburg,IL,60194,3891,COOK 
Circle K 41,-89.079735,42.266926,1030 E State St,,Rockford,IL,61104,2139,WINNEBAGO 
D & S QUICK FOOD,-87.539536,41.616928,645 Burnham Ave,,Calumet City,IL,60409,4032,COOK 
DOLLAR GENERAL 7581,-89.186325,37.048019,14144 Turner Ln,,Cairo,IL,62914,3100,ALEXANDER 
DOLLAR GENERAL 9182,-90.216072,39.902733,5717 IL Route 78,,Virginia,IL,62691,1399,CASS 
DOLLAR GENERAL 9247,-88.968407,40.489918,1209 Towanda Ave,,Bloomington,IL,61701,3423,MCLEAN 
DOLLAR GENERAL 1110,-90.759308,39.982525,204 Pittsfield Rd,,Mount Sterling,IL,62353,1626,BROWN 
Dollar General 9157,-91.125771,40.416168,1101 Buchanan St,,Carthage,IL,62321,1249,HANCOCK 
DOLLAR GENERAL 7890,-88.89946,37.919662,905 Factory Outlet Blvd,,West Frankfort,IL,62896,4285,FRANKLIN 
El Barakah Supermarket,-87.560486,41.763927,7300 S South Shore Dr,,CHICAGO,IL,60649,,COOK 
DOLLAR GENERAL 9305,-88.366051,37.426125,479 Main St,,Rosiclare,IL,62982,1001,HARDIN 
DOLLAR GENERAL 8772,-89.11422,37.875328,218 S Main St,,Royalton,IL,62983,,FRANKLIN 
DOLLAR GENERAL 9386,-90.403297,40.796177,505 S Commercial Dr,,Abingdon,IL,61410,1603,KNOX 
BUDDY'S CITGO,-87.654915,41.663094,1336 W 127TH ST,,CALUMET PARK,IL,60643,,COOK 
SDS STORES INC,-89.695732,38.534988,409 E Hanover St,,New Baden,IL,62265,1903,CLINTON 
DOLLAR GENERAL 9474,-91.052986,40.039516,804 E Wood St,,Camp Point,IL,62320,1437,ADAMS 
DOLLAR GENERAL 9680,-89.574409,40.728809,3419 N Prospect Rd,,Peoria,IL,61603,1519,PEORIA 
DOLLAR GENERAL 4576,-89.040283,38.091835,811 E Franklin St,,Sesser,IL,62884,1622,FRANKLIN 
DOLLAR GENERAL 9368,-88.540321,37.747101,1107 N Main St,,Harrisburg,IL,62946,1076,SALINE 
DOLLAR GENERAL 9498,-87.994186,40.761719,610 S Crescent St,,Gilman,IL,60938,1516,IROQUOIS 
DOLLAR GENERAL 9297,-89.185158,37.727001,110 N Giant City Rd,,Carbondale,IL,62902,6408,JACKSON 
Dollar General 9734,-90.494675,40.564774,18245 US 41,,BUSHNELL,IL,61422,,MCDONOUGH 
Dollar General 9555,-88.54908,38.303043,1606 W Robinson,,Wayne City,IL,62895,,WAYNE 
DOLLAR GENERAL 6226,-88.573402,40.027885,400 W Center St,# B,Monticello,IL,61856,1613,PIATT 
DOLLAR GENERAL 6340,-89.280815,40.015228,423 E Chestnut St,,Mount Pulaski,IL,62548,1006,LOGAN 
DOLLAR GENERAL 4871,-90.07634,38.731579,4101 Pontoon Rd,,Pontoon Beach,IL,62040,4345,MADISON 
DOLLAR GENERAL 7954,-88.376671,39.463493,2007 Lake Land Blvd,,Mattoon,IL,61938,5923,COLES 
DOLLAR GENERAL 2588,-89.787689,39.011982,114 S Elm St,,Staunton,IL,62088,1467,MACOUPIN 
DOLLAR GENERAL 2639,-89.817787,37.897957,612 Chester Center,,Chester,IL,62233,1282,RANDOLPH 
DOLLAR GENERAL 2982,-89.08242,37.74543,314 W Plaza Dr,,Carterville,IL,62918,1980,WILLIAMSON 
DOLLAR GENERAL 8617,-88.620621,37.683926,6500 US 45 S,,Carrier Mills,IL,62917,,SALINE 
DOLLAR GENERAL 8435,-89.539169,40.372581,701 E 4th St,,Delavan,IL,61734,9615,TAZEWELL 
DOLLAR GENERAL 8708,-89.002129,40.737629,903 W Main St,,El Paso,IL,61738,1495,WOODFORD 
DOLLAR GENERAL 8738,-88.459526,41.658463,1435 Cannonball Trl,,Yorkville,IL,60560,4542,KENDALL 
DOLLAR GENERAL 4836,-88.870461,39.780567,900 N State Highway 121,,Mt Zion,IL,62549,1436,MACON 
Dollar General 7696,-88.747902,39.049858,913 S Main St,,Altamont,IL,62411,1743,EFFINGHAM 
DOLLAR GENERAL 2721,-88.965187,39.876373,655 W Pershing Rd,,Decatur,IL,62526,1632,MACON 
DOLLAR GENERAL 9023,-89.780563,39.454041,714 N 3rd St,,Girard,IL,62640,1040,MACOUPIN 
DOLLAR GENERAL 7462,-88.987,40.312054,803 W Cleveland St,,Heyworth,IL,61745,9189,MCLEAN 
DOLLAR GENERAL 6279,-87.855324,42.388618,2005 N Lewis Ave,,Waukegan,IL,60087,4721,LAKE 
Mangos Fresh Market & Deli,-87.88929,42.107403,648 N Milwaukee Ave,,Prospect Heights,IL,60070,2353,COOK 
AL BAYAN GROCERY INC,-87.785973,41.937119,3134 N Narragansett Ave,,Chicago,IL,60634,4919,COOK 
Aldi 60,-88.01976,42.253735,730 S Rte 83,,Mundelein,IL,60060,4576,LAKE 
Aldi 85,-87.660622,41.65723,13085 S Ashland Ave,,Calumet Park,IL,60827,6333,COOK 
ARANDA'S LIQUOR & FOOD,-87.67514,41.624432,13440 S WESTERN AVE,,BLUE ISLAND,IL,60406,,COOK 
M & M GROCERY,-87.654678,41.964558,4533 N Sheridan Rd,,Chicago,IL,60640,5618,COOK 
Casey's General Store 2577,-89.42308,39.591217,110 SPRINGFIELD ST,,KINCAID,IL,62540,,CHRISTIAN 
DOLLAR GENERAL 0563,-89.47583,40.587921,2025 S Main St,,Morton,IL,61550,2915,TAZEWELL 
DOLLAR GENERAL 0642,-89.483459,40.692734,44 Sunnyland Plz,,Washington,IL,61571,1943,TAZEWELL 
Dollar General 1090,-88.546928,39.104088,1908 S Banker St,,Effingham,IL,62401,2809,EFFINGHAM 
SUPERMERCADO CHAPALA,-87.771805,41.850803,5909 W Cermak Rd,,Cicero,IL,60804,2136,COOK 
DOLLAR GENERAL 3796,-88.59185,42.242065,1020 E Grant Hwy,,Marengo,IL,60152,3408,MCHENRY 
DOLLAR GENERAL 6381,-90.183411,41.300076,13075 Illinois Highway 81,,Cambridge,IL,61238,9151,HENRY 
Dollar General 6499,-89.825203,42.376045,106 E Provost St,,Lena,IL,61048,9707,STEPHENSON 
DOLLAR GENERAL 7467,-87.700142,39.76619,22265 IL Highway 1,,Chrisman,IL,61924,8770,EDGAR 
DOLLAR GENERAL 8299,-87.86869,41.114925,545 S Washington Ave,,Kankakee,IL,60901,3745,KANKAKEE 
DOLLAR GENERAL 8502,-89.602608,40.619553,104 Joliet Rd,,Marquette Hts,IL,61554,1325,TAZEWELL 
TONY'S FOODS,-87.747284,41.838459,4900 W 30th St,,Cicero,IL,60804,3616,COOK 
Walgreens 7515,-87.806259,41.974751,7155 W Foster Pl,,Chicago,IL,60656,3614,COOK 
Walgreens 3273,-87.803238,42.187016,655 Elm Pl,,Highland Park,IL,60035,3132,LAKE 
ASIAN FOOD MART,-88.281776,42.029572,54B National St,,Elgin,IL,60123,7742,KANE 
HERITAGE HEALTH FOODS,-87.717125,41.557076,4111 183rd St,,Country Club Hills,IL,60478,5308,COOK 
SAVE-A-LOT 477,-88.207436,40.11441,220 N Broadway Ave,,Urbana,IL,61801,2707,CHAMPAIGN 
LITTLE WORLD MART,-89.668045,39.766582,2936 S Macarthur Blvd,,Springfield,IL,62704,5019,SANGAMON 
Harrison Marathon,-87.744621,41.873142,4751 W Harrison St,,Chicago,IL,60644,5124,COOK 
CVS 7142,-88.024925,41.583427,16760 W Division St,,Lockport,IL,60441,,WILL 
CVS 5795,-87.71312,41.946518,3411 W Addison St,,Chicago,IL,60618,4249,COOK 
CAPUTO'S FRESH MARKET,-88.073868,41.957481,166 E Lake St,,Bloomingdale,IL,60108,1168,DU PAGE 
S & K MINI MART,-90.456184,41.486229,4400 Kennedy Dr,,East Moline,IL,61244,4246,ROCK ISLAND 
Walmart 5044,-90.447342,42.434387,10000 Bartel Blvd,,Galena,IL,61036,8219,JO DAVIESS 
PAPA MURPHY'S TAKE N BAKE PIZZA,-88.436226,42.314449,119 S Eastwood Dr,Suite 5,Woodstock,IL,60098,3519,MCHENRY 
WING CHEONG GROCERY INC,-87.631889,41.85046,2317 S Wentworth Ave,,Chicago,IL,60616,2013,COOK 
WYANET LOCKER,-89.582748,41.364201,218 E Railroad St,,Wyanet,IL,61379,4505,BUREAU 
Tony's Fresh Market 6,-87.799187,41.734379,8630 S Harlem Ave,,Bridgeview,IL,60455,1802,COOK 
CVS 7166,-87.628151,41.6334,250 W 144th St,,Riverdale,IL,60827,2733,COOK 
CVS 7170,-88.111267,42.363163,1229 W IL Route 134,,Round Lake,IL,60073,9725,LAKE 
CC FOOD MART,-89.841476,38.889057,315 E STATE,,HAMEL,IL,62046,,MADISON 
BEACH PARK MINI MART,-87.825554,42.418934,38357 N Sheridan Rd,,Beach Park,IL,60087,1701,LAKE 
EASTVIEW INC,-87.668442,42.016003,1501 W Jarvis Ave,,Chicago,IL,60626,1908,COOK 
SAVE-A-LOT,-89.213432,37.725471,301 E Walnut St,,Carbondale,IL,62901,3018,JACKSON 
Thornton Oil 139,-88.321968,41.789898,418 S Lincolnway,,North Aurora,IL,60542,1708,KANE 
TINLEY MARKET,-87.813103,41.586979,16721 80th Ave,,Tinley Park,IL,60477,2361,COOK 
BALTIMORE FOOD & LIQUOR,-87.547211,41.653236,13322 S Baltimore Ave,,Chicago,IL,60633,1425,COOK 
RTE 203 FOOD MART,-90.128578,38.641434,1951 Collinsville Rd,,Fairmont City,IL,62201,1537,ST CLAIR 
MAYWOOD GAS INC,-87.843605,41.864338,905 W Roosevelt Rd,,Maywood,IL,60153,3240,COOK 