market name,address,city,state,zipcode,phone,latitude,longitude,double value
Alton Farmers & Artisans Market,600 Landmarks Blvd,Alton,IL,62002,(618) 463-1016,38.8888584,-90.1772953,False
Aurora Farmers Market - Downtown,233 N. Broadway,Aurora,IL,60505,(630) 256-3370,41.7613407,-88.30940729999999,True
Aurora Farmers Market - East,701 S. Eola Road,Aurora,IL,60504,,41.743204,-88.24875399999999,True
Aurora Farmers Market - West,1901 W. Galena Blvd.,Aurora,IL,60506,,41.765598,-88.363541,True
Downtown Bloomington Association Market,200 N. Main Street,Bloomington,IL,61701,(309) 829-9599,40.4800081,-88.9941508,False
Buffalo Grove Farmers Market,951 McHenry Road,Buffalo Grove,IL,60089,(309) 829-9599,42.1679185,-87.9701907,False
Carbondale Community Farmers Market,1301 E. Walnut St.,Carbondale,IL,62901,(785) 643-1054,37.7251256,-89.18738719999999,False
Farmers Market of Carbondale,2101 W. Main St.,Carbondale,IL,62901,(618) 833-2769,37.7302767,-89.24348839999999,False
Regional Producer Farmers Market,317 E. Main St.,Carbondale,IL,62901,(618) 308-0792,37.7271345,-89.2116617,False
Crump Family Gardens,10396 E. 2100 North Road,Carlock,IL,61725,(309) 376-5281,40.5917,-89.07284399999999,False
Cannon Park Community Market,102 N. Greenbriar Rd.,Carterville,IL,62918,(618) 308-0792,37.7616337,-89.09570719999999,False
The Land Connection of Champaign/Champaign Farmers Market,310 N. Neil St.,Champaign,IL,61820,(217) 840-2128,40.118504,-88.2435589,False
18th Street Farmers Market,18th Street Farmers Market825 18th St.,Charleston,IL,61820,(217) 345-4700,,,False
61st Street Farmers Market - Experimental Station,61st Street Farmers Market - Experimental Station6100 S. Blackstone Ave.,Chicago,IL,60637,(773) 241-6044,41.7840479,-87.5906017,True
Andersonville Farmers Market,1500 W. Berwyn Avenue,Chicago,IL,60640,(773) 728-2995,41.9780083,-87.66834329999999,True
Austin Town Hall Farmers Market,60644,Chicago,IL,60644,(312) 744-0565,41.8828292,-87.7517295,True
Back of the Yards Community Market at The Plant,1400 W. 46th St.,Chicago,IL,60609,(773) 847-5523,41.8107477,-87.6606973,True
Bronzeville Community Market,2600 Martin Luther King Dr.,Chicago,IL,60653,,41.845534,-87.6176397,False
Chicago Botanic Garden's Green Youth Farm (Lawndale),3750 W. Ogden Street,Chicago,IL,60623,(224) 412-7635,41.8534052,-87.719342,False
Chicago Botanic Garden's Green Youth Farm (Washington Park),555 E. 51st Street,Chicago,IL,60623,(224) 412-7635,41.8013958,-87.61238639999999,False
Columbus Park Farmers Market,60644,Chicago,IL,60644,(312) 744-0565,41.8828292,-87.7517295,True
Daley Plaza Chicago Farmers Market,50 W. Washington St.,Chicago,IL,60602,(312) 744-0565,41.8840845,-87.63018679999999,True
Division Street Chicago Farmers Market,1200 N. Dearborn St.,Chicago,IL,,(312) 744-0565,41.9041407,-87.63040579999999,True
Eden Place Farmers Market,43rd St. & S. Wells,Chicago,IL,60609,(773) 624-8686,40.7578494,-73.9165934,False
El Conuco Farmers Market in Humboldt Park,2739 W. Division St.,Chicago,IL,60622,,41.9026807,-87.6959923,True
Englewood/Anchor House,7600 S. Racine Ave,Chicago,IL,60620,(312) 744-0565,41.755499,-87.655121,True
Faith In Place,70 E. Lake Street,Chicago,IL,60601,(312) 733-4640,41.8860676,-87.6256982,False
Federal Plaza Chicago Farmers Market,230 S. Dearborn St.,Chicago,IL,60603,(312) 744-0565,41.8784454,-87.63,True
Garfield Park Community Council,200 N. Kedzie Ave.,Chicago,IL,60624,(773) 638-1766,41.8846868,-87.7062308,True
George Washington Carver Farms Market,10105 S.  Wallace St. ,Chicago,IL,60628,(773) 870-6556,41.7103827,-87.6378146,False
George Washington Carver Farms - Altgeld Gardens Market,939 E. 130th Place,Chicago,IL,60827,(773) 870-6556,41.65863420000001,-87.5991038,False
Glenwood Sunday Market,1448 W. Morse Avenue,Chicago,IL,60626,(773) 508-5885,42.0080398,-87.6676111,True
Glenwood Sunday Market - Indoor,6962 N. Glenwood Ave.,Chicago,IL,60626,,42.0084077,-87.6663487,True
Green City Market - Outdoor,1800 N. Clark Street,Chicago,IL,60614,(773) 880-1266,41.91490539999999,-87.63425819999999,True
Green City Market - Indoor,2430 N Cannon Drive,Chicago,IL,60614,,41.9267847,-87.63518479999999,True
Green City Market - West Loop,115 S. Sangamon St.,Chicago,IL,60607,,41.87979929999999,-87.6508049,True
Growing Home Night Market at Kusanya Café,825 W. 69th St.,Chicago,IL,60621,,41.7685814,-87.6455659,False
"Growing Power, Iron St. Farmers Market",3333 S. Iron St.,Chicago,IL,60608,(773) 376-8882,41.8326802,-87.6598467,False
Healthy Food Hub Farmers' Market,2423 E 75th St.,Chicago,IL,60649,(773) 410-3446,41.7588146,-87.5655092,False
Hyde Park Chicago Farmers Market,5300 Harper Court Circle,Chicago,IL,60615,(312) 744-0565,41.7995097,-87.5890946,False
Iman Health and Wellness Farmers Market,2744 W. 63rd St.,Chicago,IL,62609,(773) 434-4626,41.7793251,-87.6927932,True
Independence Park Farmers Market,3945 N. Springfield Ave.,Chicago,IL,60618,(312) 263-3754,41.9529732,-87.7247168,False
LaFollette Park Farmers Market,1333 N. Laramie,Chicago,IL,60651,(312) 744-0565,41.90531439999999,-87.7552631,True
Lincoln Square Farmers Market,2301 W. Leland Ave.,Chicago,IL,60625,(312) 744-0565,41.9668208,-87.68750010000001,True
Logan Square Farmers Market,3107 W. Logan Boulevard,Chicago,IL,60647,(773) 489-3222,41.92795479999999,-87.7052487,False
Logan Square Winter Farmers Market,2755 N. Milwaukee Ave.,Chicago,IL,,,41.931372,-87.710594,False
Loyola Farmers Market,6550 N. Sheridan Rd.,Chicago,IL,60626,(773) 508-8255,42.0016241,-87.6611571,False
McKinley Park Farmers Market,2210 W. Pershing Road,Chicago,IL,60609,(847) 902-4299,41.8237382,-87.6824446,False
Otis Fresh Farmers Market,2616 S. Calumet Ave.,Chicago,IL,60609,(773) 747-1761,41.8451568,-87.6190816,False
PCC Austin Community Farm,330 N. Lotus Ave.,Chicago,IL,60644,(708) 524-7685,41.886731,-87.762193,False
Pilsen Community Market,1800 S. Halsted Street,Chicago,IL,60608,(305) 283-6747,41.8577756,-87.6469073,False
Portage Park Farmers Market,4100 N. Long Ave.,Chicago,IL,60641,(773) 720-5381,41.955369,-87.76358929999999,False
Printer Row Farmers Market,700 S. Dearborn St.,Chicago,IL,60620,,41.873316,-87.62942000000001,True
Pullman Farmers Market,11141 S. Cottage Grove,Chicago,IL,60628,(312) 744-0565,41.69133799999999,-87.6096909,True
Roseland Community Farmers Market,11400 S. Michigan Ave.,Chicago,IL,60628,,41.686898,-87.621256,False
Seaway Bank Farmers Market,645 E. 87th St.,Chicago,IL,60619,(773) 487-4800,41.7363311,-87.60802059999999,True
South Halsted Farmers Market,"79th & South Shore Drive (corner)Chicago, IL 60643",79th & South Shore Drive (corner)Chicago,IL,60643,(773) 568-2929,41.7508264,-87.6251778,True
South Shore Farmers' Market,79th & South Shore Drive (corner),Chicago,IL,60649,(773) 554-8056,41.7508264,-87.6251778,True
The Rowan Tree Garden Society Farmers Market,501 W. Englewood Ave.,Chicago,IL,60621,(773) 297-4766,41.780535,-87.637692,False
Trinity UCC Farmers' Market,400 W 95th St,Chicago,IL,60628,(773) 962-5650,41.7223692,-87.63424499999999,True
Weiss Memorial Hospital Uptown Farmers Market,4646 N Marine Dr.,Chicago,IL,60640,(773) 564-5221,41.966776,-87.6494472,False
West Humboldt Park Farmers Market and Bazaar,3601 W. Chicago Ave.,Chicago,IL,60651,(773) 342-0036,41.89510629999999,-87.7167783,True
Wicker Park Farmers Market,1425 N. Damen Ave.,Chicago,IL,60622,(773) 384-2672,41.9080486,-87.676738,True
Willis Tower Farmer Market,233 S. Wacker Dr.,Chicago,IL,60606,,41.8788862,-87.635881,True
"Wood Street Farm Stand/Growing Home, Inc.",5814 S. Wood Street,Chicago,IL,60636,(773) 434-7144,41.7880107,-87.66950849999999,False
Pearson's Melon Farm,2019 Georgetown Rd.,Danville,IL,61832,,40.088941,-87.6352405,False
Dekalb Farmers Market,2nd St and Locust St.,Dekalb,IL,60115,(815) 756-6306,41.9313509,-88.7521505,False
Fresh Farmer's Market,638 N. 20th St.,East St. Louis,IL,62205,(618) 271-8722,38.619477,-90.13198,True
Land of Goshen Community Market,201 St. Louis St.,Edwardsville,IL,62025,(618) 307-6045,38.8120579,-89.958187,False
Downtown Elgin Harvest Market,200 North Grove Avenue,Elgin,IL,60120,(847) 488-1456,42.0409413,-88.28684009999999,False
Evanston Farmers Market,60201,Evanston,IL,60201,(847) 448-8045,42.060011,-87.6926257,False
United Sportsmen's Youth Foundation Farmers Market,1931 IL Route 75 E,Freeport,IL,61032,,42.30494880000001,-89.5752724,False
Galesburg Farmers Market,360 E. Simmons Street,Galesburg,IL,61401,(309) 368-1750,40.9463504,-90.3648522,False
Susie's Garden Patch,10258 US Highway 20,Garden Prairie,IL,61038,(815) 597-3011,42.258375,-88.73765499999999,False
Glenview Wagner Farm Farmers Market,1510 Wagner Road,Glenview,IL,60025,(847) 962-4073,42.0821696,-87.7813752,True
JC Natural Farm,13071 Jordan Creek Rd.,Iuka,IL,62812,(618) 439-9416,,,False
Joliet Junior College Farmers Market,1215 Houbolt Rd.,Joliet,IL,60431,(815) 280-2540,41.5002855,-88.16874829999999,False
Regional Producers Farmers Market (RPFM) - Johnson City,137 East Broadway Blvd (Downtown),Johnson City,IL,62951,(618) 308-0792,37.8166807,-88.9276924,False
Kankakee Farmers Market,199 S. East Ave.,Kankakee,IL,60901,(815) 275-4395,41.119011,-87.865782,False
Lanark Farmers Market,240 W. Clarmont St.,Lanark,IL,61046,(815) 275-4395,42.1045644,-89.8349444,True
GPS Farmers Market,10714 N. 2nd St.,Machesney Park,IL,61115,(779) 221-8491,42.373537,-89.03146799999999,False
"Thunder 5 Ranch, Inc.","5 Ranch, Inc.",McLeansboro,IL,62859,(618) 308-0792,,,False
Morton Grove Farmers' Market,6210 Dempster St.,Morton Grove,IL,60053,(847) 750-6436,42.0409469,-87.7817599,False
Northbrook Farmers Market,60062,Northbrook,IL,60062,,42.1275267,-87.82895479999999,True
Oak Park Farmers Market,460 Lake Street,Oak Park,IL,60302,(708) 358-5780,41.8884283,-87.7873942,True
City of Palos Heights Farmers Market,12217 S. Harlem Ave.,Palos Heights,IL,60463,(708) 361-1800,41.6691157,-87.7966289,False
Park Forest Farmers Market,271 Lakewood,Park Forest,IL,60466,(708) 748-1118,41.4845102,-87.6813804,False
Park Ridge Farmers Market,15 Prairie Ave.,Park Ridge,IL,60068,(847) 309-2433,42.010029,-87.83339000000001,False
Pekin Main Street Farmers Market,111 S. Capitol Street,Pekin,IL,61554,(309) 353-3100,40.5684999,-89.649811,False
EPIC Market,1913 W. Townline Road,Peoria,IL,61615,(309) 691-3800,40.7987329,-89.6221175,False
Peoria Riverfront Market,200 S.W. Water Street,Peoria,IL,61602,(309) 671-5555,40.68898,-89.587768,True
Zimmerlein Farm,439 S. Main St.,Princeton,IL,61356,(815) 878-8527,41.3708844,-89.4650346,False
Angelic Organics/Blackhawk Farm,110 N. 1st St.,Rockford,IL,61107,(815) 243-0403,42.268747,-89.088737,False
Rockford City Market,100 N. Water St.,Rockford,IL,61107,,42.2695175,-89.0910483,False
Rockford North End City Market,1400 N. Main St. at,Rockford,IL,61103,(815) 977-5124,42.3103174,-89.0763187,False
Illinois Products Farmers Market,801 E. Sangamon Avenue,Springfield,IL,62702,(217) 785-4873,39.8319582,-89.6435278,False
Old Capitol Farmers Market,3 West Old State Capitol Plaza,Springfield,IL,62701,(217) 544-1723,39.8012582,-89.6497347,True
Old Capitol Farmers Market - Eastside,2833 S. Grand Ave. East,Springfield,IL,62703,(217) 741-7717,39.7888553,-89.6124109,False
Market at the Square,400 S. Vine Street,Urbana,IL,61801,(217) 384-2319,40.1099943,-88.204546,False
Green Youth Farm Stand - North Chicago/Waukegan,1215 N. Greenbay Rd.,Waukegan,IL,60085,(224) 612-2635,42.3377437,-87.87105269999999,False
Woodstock Farmers Market,100 N. Johnson Street,Woodstock,IL,60098,(815) 338-5164,42.3149407,-88.44743009999999,False
